inc_before_tax,mo_net_tax_liab_dol_chg_single,mo_net_tax_liab_dol_chg_mar0kids,mo_net_tax_liab_dol_chg_hoh2kids,mo_net_tax_liab_dol_chg_mar2kids
202448.19,-2148.4365,-1959.4365,-2053.9365,-1959.4365
202469.16,-2148.688,-1959.688,-2054.188,-1959.688
202490.14,-2148.94,-1959.94,-2054.44,-1959.94
202511.12,-2149.192,-1960.1919,-2054.692,-1960.1919
202532.1,-2149.4434,-1960.4434,-2054.9434,-1960.4434
202553.08,-2149.6948,-1960.6948,-2055.1948,-1960.6948
202574.05,-2149.9463,-1960.9463,-2055.4463,-1960.9463
202595.03,-2150.1982,-1961.1982,-2055.6982,-1961.1982
202616.0,-2150.4497,-1961.4497,-2055.9497,-1961.4497
202636.98,-2150.7017,-1961.7017,-2056.2017,-1961.7017
202657.95,-2150.9531,-1961.9536,-2056.4531,-1961.9536
202678.94,-2151.205,-1962.2056,-2056.705,-1962.2056
202699.9,-2151.4565,-1962.457,-2056.9565,-1962.457
202720.89,-2151.7085,-1962.709,-2057.2085,-1962.709
202741.86,-2151.961,-1962.9604,-2057.461,-1962.9604
202762.84,-2152.2124,-1963.2119,-2057.7124,-1963.2119
202783.81,-2152.4639,-1963.4634,-2057.9639,-1963.4634
202804.8,-2152.7158,-1963.7153,-2058.2158,-1963.7153
202825.77,-2152.9673,-1963.9673,-2058.4673,-1963.9673
202846.75,-2153.2192,-1964.2192,-2058.7192,-1964.2192
202867.72,-2153.4707,-1964.4707,-2058.9707,-1964.4707
202888.7,-2153.7227,-1964.7227,-2059.2227,-1964.7227
202909.67,-2153.974,-1964.9741,-2059.474,-1964.9741
202930.66,-2154.226,-1965.2261,-2059.726,-1965.2261
202951.64,-2154.4775,-1965.4775,-2059.9775,-1965.4775
202972.61,-2154.729,-1965.729,-2060.229,-1965.729
202993.6,-2154.981,-1965.981,-2060.481,-1965.981
203014.56,-2155.2324,-1966.2329,-2060.7324,-1966.2329
203035.55,-2155.4844,-1966.4844,-2060.9844,-1966.4844
203056.52,-2155.7358,-1966.7363,-2061.2358,-1966.7363
203077.5,-2155.9878,-1966.9883,-2061.4878,-1966.9883
203098.47,-2156.2393,-1967.2397,-2061.7393,-1967.2397
203119.45,-2156.4912,-1967.4917,-2061.9912,-1967.4917
203140.42,-2156.7437,-1967.7432,-2062.2437,-1967.7432
203161.4,-2156.995,-1967.9946,-2062.495,-1967.9946
203182.38,-2157.2466,-1968.2461,-2062.7466,-1968.2461
203203.36,-2157.4985,-1968.498,-2062.9985,-1968.498
203224.33,-2157.75,-1968.75,-2063.25,-1968.75
203245.31,-2158.002,-1969.002,-2063.502,-1969.002
203266.28,-2158.2534,-1969.2534,-2063.7534,-1969.2534
203287.27,-2158.5054,-1969.5054,-2064.0054,-1969.5054
203308.23,-2158.7568,-1969.7568,-2064.2568,-1969.7568
203329.22,-2159.0088,-1970.0088,-2064.5088,-1970.0088
203350.19,-2159.2603,-1970.2603,-2064.7603,-1970.2603
203371.17,-2159.5117,-1970.5117,-2065.0117,-1970.5117
203392.14,-2159.7632,-1970.7637,-2065.2632,-1970.7637
203413.12,-2160.0151,-1971.0156,-2065.5151,-1971.0156
203434.11,-2160.267,-1971.2671,-2065.767,-1971.2671
203455.08,-2160.5186,-1971.519,-2066.0186,-1971.519
203476.06,-2160.7705,-1971.771,-2066.2705,-1971.771
203497.03,-2161.023,-1972.0225,-2066.523,-1972.0225
203518.02,-2161.274,-1972.2744,-2066.774,-1972.2744
203538.98,-2161.5264,-1972.5259,-2067.0264,-1972.5259
203559.97,-2161.7778,-1972.7773,-2067.2778,-1972.7773
203580.94,-2162.0293,-1973.0293,-2067.5293,-1973.0293
203601.92,-2162.2812,-1973.2808,-2067.7812,-1973.2808
203622.89,-2162.5327,-1973.5327,-2068.0327,-1973.5327
203643.88,-2162.7847,-1973.7847,-2068.2847,-1973.7847
203664.84,-2163.0361,-1974.0361,-2068.5361,-1974.0361
203685.83,-2163.288,-1974.2881,-2068.788,-1974.2881
203706.8,-2163.5396,-1974.5396,-2069.0396,-1974.5396
203727.78,-2163.7915,-1974.7915,-2069.2915,-1974.7915
203748.75,-2164.043,-1975.043,-2069.543,-1975.043
203769.73,-2164.2944,-1975.2944,-2069.7944,-1975.2944
203790.7,-2164.546,-1975.5464,-2070.046,-1975.5464
203811.69,-2164.7979,-1975.7983,-2070.2979,-1975.7983
203832.66,-2165.0493,-1976.0498,-2070.5493,-1976.0498
203853.64,-2165.3013,-1976.3018,-2070.8013,-1976.3018
203874.62,-2165.5532,-1976.5537,-2071.0532,-1976.5537
203895.6,-2165.8057,-1976.8052,-2071.3057,-1976.8052
203916.58,-2166.0566,-1977.0571,-2071.5566,-1977.0571
203937.55,-2166.309,-1977.3086,-2071.809,-1977.3086
203958.53,-2166.5605,-1977.56,-2072.0605,-1977.56
203979.5,-2166.812,-1977.812,-2072.312,-1977.812
